NAME                     VERSION                               TYPE                     
Simple Launcher          1.1.0.14                              binary  (+5 duplicates)  
adduser                  3.152                                 deb                      
annotated-doc            0.0.4                                 python                   
annotated-types          0.7.0                                 python                   
anyio                    4.12.1                                python                   
apt                      3.0.3                                 deb                      
autocommand              2.2.2                                 python                   
backports-tarfile        1.2.0                                 python                   
base-files               13.8+deb13u1                          deb                      
base-passwd              3.6.7                                 deb                      
bash                     5.2.37-2+b5                           deb                      
bsdutils                 1:2.41-5                              deb                      
ca-certificates          20250419                              deb                      
cli                      UNKNOWN                               binary                   
cli-32                   UNKNOWN                               binary                   
cli-64                   UNKNOWN                               binary                   
cli-arm64                UNKNOWN                               binary                   
click                    8.1.8                                 python                   
coloredlogs              15.0.1                                python                   
coreutils                9.7-3                                 deb                      
dash                     0.5.12-12                             deb                      
debconf                  1.5.91                                deb                      
debian-archive-keyring   2025.1                                deb                      
debianutils              5.23.2                                deb                      
diffutils                1:3.10-4                              deb                      
dpkg                     1.22.21                               deb                      
exceptiongroup           1.3.1                                 python                   
fastapi                  0.128.8                               python                   
findutils                4.10.0-3                              deb                      
flatbuffers              25.12.19                              python                   
gcc-14-base              14.2.0-19                             deb                      
grep                     3.11-4                                deb                      
gui                      UNKNOWN                               binary                   
gui-32                   UNKNOWN                               binary                   
gui-64                   UNKNOWN                               binary                   
gui-arm64                UNKNOWN                               binary                   
gzip                     1.13-1                                deb                      
h11                      0.16.0                                python                   
hostname                 3.25                                  deb                      
humanfriendly            10.0                                  python                   
idna                     3.11                                  python                   
importlib-metadata       8.0.0                                 python                   
inflect                  7.3.1                                 python                   
init-system-helpers      1.69~deb13u1                          deb                      
jaraco-collections       5.1.0                                 python                   
jaraco-context           5.3.0                                 python                   
jaraco-functools         4.0.1                                 python                   
jaraco-text              3.12.1                                python                   
libacl1                  2.3.2-2+b1                            deb                      
libapt-pkg7.0            3.0.3                                 deb                      
libatomic1               14.2.0-19                             deb                      
libattr1                 1:2.5.2-3                             deb                      
libaudit-common          1:4.0.2-2                             deb                      
libaudit1                1:4.0.2-2+b2                          deb                      
libblkid1                2.41-5                                deb                      
libbsd0                  0.12.2-2                              deb                      
libbz2-1.0               1.0.8-6                               deb                      
libc-bin                 2.41-12                               deb                      
libc6                    2.41-12                               deb                      
libcap-ng0               0.8.5-4+b1                            deb                      
libcap2                  1:2.75-10+b1                          deb                      
libcrypt1                1:4.4.38-1                            deb                      
libdb5.3t64              5.3.28+dfsg2-9                        deb                      
libdebconfclient0        0.280                                 deb                      
libdrm-amdgpu1           2.4.124-2                             deb                      
libdrm-common            2.4.124-2                             deb                      
libdrm-intel1            2.4.124-2                             deb                      
libdrm2                  2.4.124-2                             deb                      
libedit2                 3.1-20250104-1                        deb                      
libelf1t64               0.192-4                               deb                      
libexpat1                2.7.1-2                               deb                      
libffi8                  3.4.8-2                               deb                      
libgbm1                  25.0.7-2                              deb                      
libgcc-s1                14.2.0-19                             deb                      
